id,treat,voted06,voted08,voted09,voted10,voted11,voted12,voted13,voted14,age,race_afam,race_hispanic,race_other,race_white,female
867549,1,0,0,0,1,0,0,0,1,26,0,0,0,1,0
2085281,1,0,0,0,0,0,0,0,0,22,1,0,0,0,1
352809,1,0,0,0,0,0,0,0,0,27,0,0,0,1,1
2380352,1,1,1,0,0,0,0,0,1,60,0,0,0,1,1
1825679,1,0,1,0,0,0,0,0,0,25,0,0,1,0,0
1485065,1,0,0,0,0,0,0,0,0,36,0,0,0,1,1
1516308,1,0,0,0,0,0,0,0,0,41,0,0,1,0,0
215687,1,0,0,0,1,0,0,0,0,26,0,0,0,1,1
108512,1,1,1,0,1,0,0,0,1,26,0,0,0,1,1
134929,1,0,1,0,0,0,0,0,0,24,0,0,1,0,0
1068939,1,0,0,0,0,0,0,0,0,32,0,0,0,1,1
2201380,1,0,0,0,0,0,0,0,0,28,0,0,0,1,1
2176546,1,0,0,0,0,0,0,0,0,23,0,0,0,1,0
1689807,1,1,1,0,0,0,0,0,0,55,0,0,1,0,1
189468,1,0,0,0,0,0,0,0,1,49,1,0,0,0,1
862140,1,1,1,0,0,0,0,0,0,39,0,0,1,0,1
509195,1,0,1,0,0,0,0,0,0,57,0,0,0,1,1
279726,1,0,0,0,0,0,0,0,0,88,0,0,0,1,1
2135691,1,0,0,0,0,0,0,0,0,42,0,0,0,1,1
210487,1,0,1,0,0,0,0,0,0,24,0,0,0,1,1
1669693,1,1,0,0,0,0,0,0,0,36,0,0,0,1,1
1195377,1,0,0,0,0,0,0,0,0,31,0,0,0,1,1
284453,1,1,1,0,0,0,0,0,0,30,0,0,0,1,1
1476933,1,0,0,0,0,0,0,0,0,34,0,0,0,1,1
1355727,1,1,1,0,0,0,0,0,1,41,0,0,0,1,1
1172029,1,0,1,0,0,0,0,0,0,73,0,0,0,1,1
591917,1,1,0,0,0,0,0,0,0,88,0,0,0,1,1
503858,1,0,0,0,0,0,0,0,0,47,0,0,1,0,0
1874520,1,0,0,0,0,0,0,0,0,68,1,0,0,0,0
1032380,1,0,1,0,0,0,0,0,0,24,0,0,0,1,1
1426651,1,0,0,0,0,0,0,0,0,22,1,0,0,0,0
1310239,1,0,1,0,0,0,0,0,0,43,0,0,0,1,1
2406770,1,0,1,0,0,0,0,0,0,54,0,0,0,1,1
780059,1,0,0,0,0,0,0,0,0,20,0,0,0,1,0
434520,1,0,0,0,0,0,0,0,0,57,0,0,0,1,1
1996443,1,0,0,0,0,0,0,0,1,44,0,0,1,0,1
906083,1,0,0,0,0,0,0,0,0,25,0,0,0,1,0
2156518,1,1,0,0,0,0,0,0,0,90,0,0,0,1,1
444003,1,0,0,0,0,0,0,0,0,31,0,1,0,0,0
1000327,1,0,0,0,0,0,0,0,0,65,0,0,0,1,1
29256,1,0,0,0,0,0,0,0,0,21,0,0,0,1,0
1659888,1,0,1,0,0,0,0,0,0,38,0,0,0,1,1
1255157,1,0,0,0,0,0,0,0,0,62,0,0,0,1,1
2423702,1,0,0,0,0,0,0,0,0,52,0,0,0,1,1
507914,1,0,0,0,0,0,0,0,0,28,0,0,0,1,1
1139022,1,0,0,0,0,0,0,0,0,33,0,0,0,1,1
1458294,1,0,1,0,0,0,0,0,0,27,1,0,0,0,1
79501,1,1,0,0,0,0,0,0,0,45,0,0,1,0,0
1393279,1,0,0,0,0,0,0,0,0,20,0,0,0,1,0
1273661,1,0,0,0,0,0,0,0,0,67,0,0,0,1,1
713380,1,0,0,0,1,0,0,0,0,45,0,0,0,1,1
176961,1,0,1,0,0,0,0,0,0,85,0,0,0,1,1
1955237,1,0,0,0,0,0,0,0,0,64,0,1,0,0,1
1509398,1,0,0,0,0,0,0,0,1,26,0,0,0,1,0
1475372,0,0,1,0,1,0,0,0,1,24,0,0,0,1,1
647686,1,0,0,0,0,0,0,0,0,37,0,0,1,0,1
1814683,1,0,1,0,0,0,0,0,0,35,0,0,0,1,1
585295,1,0,0,0,1,0,0,0,0,22,0,0,0,1,0
985983,1,0,1,0,0,0,0,0,0,51,0,0,0,1,1
549047,1,0,0,0,0,0,0,0,0,69,0,0,0,1,1
1632724,1,0,1,0,0,0,0,0,0,26,0,0,0,1,1
2179528,0,0,0,0,0,0,0,0,0,21,0,0,0,1,1
1031112,1,1,0,0,0,0,0,0,0,28,0,0,0,1,0
745944,1,0,0,0,0,0,0,0,0,21,0,0,0,1,1
2099696,1,0,1,0,0,0,0,0,0,34,0,0,0,1,1
2068634,1,0,0,0,0,0,0,0,0,30,0,0,0,1,1
910202,1,1,1,0,1,0,0,0,1,57,0,0,0,1,1
626084,1,0,0,0,0,0,0,0,0,72,0,0,0,1,1
2098929,1,0,1,0,0,0,0,0,0,27,0,0,0,1,0
1594086,1,0,1,0,0,0,0,0,1,30,0,0,0,1,1
1482954,1,0,1,0,0,0,0,0,0,27,0,1,0,0,1
1583893,1,1,1,0,1,0,0,0,0,68,0,0,0,1,1
2389402,1,0,0,0,0,0,0,0,0,39,0,0,0,1,1
1726206,1,0,1,0,0,0,0,0,0,33,1,0,0,0,1
1378294,1,0,0,0,0,0,0,0,0,30,0,0,0,1,1
667400,1,0,1,0,0,0,0,0,0,32,0,0,0,1,1
