bl_id,vf_age,vf_vote_gen_12,vf_vote_gen_16,vf_vote_gen_18,vf_vote_gen_20,vf_female,vf_white,voted_2022,treat
270,33,0,1,0,0,0,1,0,"HowToOnly"
271,53,1,1,1,1,0,1,1,"HowToOnly"
272,57,1,1,0,1,1,1,0,"BothMailers"
273,27,0,0,0,1,1,1,0,"HowToOnly"
274,69,1,1,0,1,0,1,0,"HowToOnly"
276,26,0,1,0,1,1,1,0,"BothMailers"
277,29,0,0,0,0,0,1,0,"HowToOnly"
278,29,1,0,0,1,1,1,0,"Control"
279,50,0,0,0,0,1,1,1,"HowToOnly"
280,50,0,0,0,0,1,1,0,"BothMailers"
281,51,1,1,0,1,0,1,0,"Control"
282,65,0,0,1,1,0,1,1,"HowToOnly"
283,30,0,0,1,1,0,1,0,"HowToOnly"
284,64,1,0,0,0,1,1,0,"Control"
285,82,0,1,1,1,0,1,1,"HowToOnly"
286,31,1,1,0,0,1,1,0,"BothMailers"
287,21,0,0,1,1,1,1,1,"HowToOnly"
289,55,0,0,0,1,0,1,1,"BothMailers"
290,53,1,1,1,1,0,1,0,"Control"
292,83,1,1,1,1,1,1,0,"BothMailers"
293,34,0,1,1,1,1,1,1,"BothMailers"
294,62,1,1,0,0,0,1,0,"Control"
296,30,0,1,0,1,0,1,0,"HowToOnly"
297,82,1,1,1,1,1,1,1,"HowToOnly"
298,85,0,1,1,1,0,1,1,"BothMailers"
299,50,0,1,0,1,1,1,0,"Control"
300,81,0,0,0,1,1,1,0,"Control"
301,84,0,1,0,1,1,1,0,"HowToOnly"
302,74,1,1,0,1,1,1,0,"Control"
303,66,0,0,0,1,0,1,1,"BothMailers"
304,45,0,1,0,0,0,1,0,"Control"
305,42,0,0,1,1,0,1,1,"BothMailers"
308,28,0,0,0,0,1,1,1,"HowToOnly"
309,68,1,1,0,1,1,1,0,"BothMailers"
310,46,0,0,0,1,1,1,0,"Control"
311,30,0,0,0,1,1,1,1,"BothMailers"
314,39,0,1,1,0,1,1,1,"BothMailers"
315,59,1,1,1,1,0,1,1,"HowToOnly"
316,52,0,1,1,0,1,1,0,"HowToOnly"
318,73,0,1,1,1,1,1,0,"BothMailers"
319,76,1,1,0,0,1,1,0,"Control"
321,39,0,1,0,0,0,1,0,"BothMailers"
322,54,1,0,0,1,1,1,0,"BothMailers"
324,48,1,1,1,1,0,1,1,"HowToOnly"
325,65,0,1,1,1,1,1,0,"BothMailers"
326,49,0,0,0,1,1,1,0,"BothMailers"
329,39,0,1,0,1,1,1,0,"BothMailers"
330,77,0,1,0,0,1,1,0,"BothMailers"
331,46,0,1,0,0,1,1,0,"BothMailers"
332,38,1,1,1,1,0,1,0,"BothMailers"
333,71,0,1,1,1,1,1,1,"BothMailers"
334,58,0,1,0,1,0,1,0,"HowToOnly"
335,85,1,1,1,1,1,1,1,"Control"
336,40,0,1,0,0,0,1,0,"HowToOnly"
339,56,1,1,1,1,0,1,0,"BothMailers"
340,49,0,0,1,1,1,0,1,"HowToOnly"
341,59,1,0,0,0,1,1,0,"Control"
342,41,0,1,1,0,1,1,0,"BothMailers"
343,70,0,0,0,1,1,1,0,"BothMailers"
344,21,0,0,1,1,1,1,0,"BothMailers"
346,42,1,1,1,1,0,1,0,"BothMailers"
347,37,1,1,0,0,0,1,0,"Control"
350,75,1,1,1,0,1,1,1,"BothMailers"
351,28,1,1,1,1,0,1,0,"Control"
353,67,0,0,0,1,0,1,1,"BothMailers"
354,74,1,1,1,0,0,1,1,"BothMailers"
355,50,0,0,1,0,0,1,0,"BothMailers"
356,50,0,0,0,1,1,1,0,"Control"
357,41,1,1,1,1,1,1,1,"Control"
359,41,1,1,1,1,0,1,1,"BothMailers"
360,71,1,1,1,0,0,1,0,"HowToOnly"
362,65,0,0,0,1,0,1,0,"Control"
363,43,0,0,0,1,1,1,0,"BothMailers"
364,50,0,0,0,1,0,1,0,"HowToOnly"
366,36,1,1,1,1,1,1,0,"HowToOnly"
367,50,1,1,0,1,0,1,0,"Control"
368,50,0,0,0,1,1,1,0,"BothMailers"
369,61,1,1,1,1,0,1,0,"HowToOnly"
370,60,0,1,0,1,0,1,1,"HowToOnly"
371,59,1,1,1,0,1,1,1,"BothMailers"
372,67,0,1,0,0,1,1,0,"BothMailers"
373,77,1,1,1,1,1,1,0,"HowToOnly"
374,46,0,1,0,1,1,1,0,"BothMailers"
375,52,1,1,0,1,1,1,0,"BothMailers"
376,50,0,0,1,1,0,1,0,"HowToOnly"
377,73,0,0,0,1,1,1,1,"BothMailers"
378,50,0,1,0,1,0,1,0,"BothMailers"
379,53,0,0,0,0,1,1,0,"HowToOnly"
380,81,0,1,0,1,0,1,0,"Control"
381,63,1,1,1,1,1,1,1,"BothMailers"
383,36,1,1,1,1,1,1,0,"BothMailers"
384,50,0,1,0,1,0,0,0,"BothMailers"
386,54,1,1,1,0,0,1,1,"HowToOnly"
387,47,0,0,0,1,1,1,0,"BothMailers"
388,86,1,1,1,1,1,1,1,"HowToOnly"
390,73,1,1,1,1,1,1,1,"HowToOnly"
391,52,0,1,1,1,1,1,0,"BothMailers"
392,65,0,0,0,1,1,1,0,"BothMailers"
393,66,1,0,1,0,1,1,1,"HowToOnly"
394,50,1,1,1,1,1,1,0,"HowToOnly"
395,31,1,0,0,0,1,1,0,"BothMailers"
396,34,0,1,0,1,0,1,0,"BothMailers"
398,52,0,1,0,0,1,1,0,"HowToOnly"
399,43,1,0,1,1,1,1,0,"HowToOnly"
401,74,0,1,1,1,0,1,0,"Control"
402,50,0,0,0,1,0,1,1,"BothMailers"
404,83,0,1,0,1,0,1,1,"BothMailers"
405,61,0,0,0,0,1,1,0,"HowToOnly"
406,70,1,1,1,1,1,1,1,"Control"
407,74,0,0,0,0,0,1,0,"Control"
408,33,0,0,1,1,0,1,1,"HowToOnly"
409,80,1,1,1,0,1,1,1,"BothMailers"
410,50,0,0,0,1,1,1,0,"Control"
411,37,1,1,1,1,0,1,0,"BothMailers"
412,50,0,1,1,1,1,1,1,"BothMailers"
413,55,1,1,0,0,1,1,0,"HowToOnly"
414,53,1,1,1,0,0,1,1,"BothMailers"
415,51,0,1,1,0,1,1,0,"BothMailers"
416,75,0,1,0,0,0,1,0,"HowToOnly"
417,73,1,1,0,0,1,1,1,"HowToOnly"
418,54,0,1,0,1,1,1,0,"HowToOnly"
419,60,1,1,1,1,1,1,1,"BothMailers"
420,45,1,1,1,1,0,1,1,"BothMailers"
421,79,1,1,1,1,0,1,1,"HowToOnly"
422,26,0,1,0,0,1,1,0,"Control"
423,71,0,1,0,0,1,1,0,"BothMailers"
424,30,0,1,0,0,1,1,0,"HowToOnly"
425,50,1,0,0,0,1,1,0,"BothMailers"
426,49,1,1,1,1,1,1,1,"BothMailers"
427,78,0,1,0,1,1,1,0,"Control"
428,42,0,1,0,1,0,1,0,"HowToOnly"
429,46,0,0,0,0,1,1,1,"BothMailers"
430,65,0,0,0,0,1,1,0,"BothMailers"
432,47,0,1,1,1,1,0,0,"Control"
433,42,0,1,0,1,0,1,0,"HowToOnly"
435,64,1,1,1,0,1,1,1,"HowToOnly"
437,44,0,1,1,1,0,1,0,"Control"
439,33,0,1,0,1,1,1,1,"BothMailers"
441,32,1,1,0,1,1,1,0,"HowToOnly"
442,41,0,0,0,0,1,1,0,"BothMailers"
443,60,0,1,1,1,0,1,0,"BothMailers"
444,30,0,0,1,0,1,0,1,"BothMailers"
445,80,0,0,0,1,1,1,1,"BothMailers"
446,55,0,0,0,0,1,1,0,"BothMailers"
447,49,0,0,0,0,0,1,0,"BothMailers"
448,30,1,1,0,0,0,1,0,"BothMailers"
449,38,0,0,0,1,0,1,0,"HowToOnly"
450,35,0,1,1,1,0,1,0,"Control"
451,64,1,1,1,1,1,1,1,"HowToOnly"
453,64,1,1,1,1,1,1,1,"BothMailers"
454,51,0,1,1,1,0,1,1,"BothMailers"
455,50,0,0,0,1,1,1,0,"BothMailers"
457,40,0,0,0,0,1,1,0,"Control"
458,44,0,1,1,1,1,1,1,"HowToOnly"
459,55,0,0,1,1,1,1,0,"HowToOnly"
460,62,1,1,0,1,1,1,1,"HowToOnly"
461,45,1,1,1,1,0,1,1,"BothMailers"
462,23,0,0,1,1,1,1,1,"BothMailers"
463,80,1,1,0,1,1,1,1,"HowToOnly"
464,40,1,1,0,0,1,1,0,"BothMailers"
465,85,0,0,0,0,1,1,0,"BothMailers"
466,32,1,1,0,0,0,1,0,"HowToOnly"
467,47,0,0,1,1,0,1,0,"BothMailers"
468,25,0,0,0,1,1,1,0,"BothMailers"
469,26,0,1,1,1,1,1,0,"BothMailers"
470,50,1,1,1,1,1,1,1,"HowToOnly"
471,34,0,0,1,1,0,1,0,"HowToOnly"
472,79,1,1,0,1,1,1,1,"BothMailers"
473,29,0,1,1,1,0,1,0,"HowToOnly"
474,50,0,1,1,1,1,1,1,"Control"
475,54,1,1,1,1,0,1,1,"BothMailers"
478,52,1,1,0,1,1,1,0,"HowToOnly"
479,34,0,1,0,0,0,0,0,"Control"
480,70,0,0,1,1,1,1,0,"HowToOnly"
481,64,0,0,0,1,1,1,0,"HowToOnly"
482,35,0,0,0,1,0,1,0,"BothMailers"
483,62,0,0,1,1,1,0,1,"BothMailers"
484,32,0,0,0,1,1,1,0,"HowToOnly"
485,77,1,1,0,1,1,1,0,"HowToOnly"
487,83,0,1,0,1,0,1,0,"HowToOnly"
489,69,1,1,1,1,0,1,1,"Control"
490,47,0,1,0,1,1,1,0,"Control"
491,31,0,0,1,1,1,1,0,"BothMailers"
492,60,0,0,0,1,0,1,0,"BothMailers"
493,46,1,1,0,1,0,1,0,"BothMailers"
494,19,0,0,0,1,0,1,0,"Control"
496,35,0,0,0,1,1,1,0,"HowToOnly"
497,76,1,1,1,1,1,1,1,"BothMailers"
498,80,0,1,1,1,0,1,1,"HowToOnly"
499,37,0,1,0,0,0,1,1,"BothMailers"
500,24,0,0,0,1,1,1,1,"BothMailers"
501,28,0,0,0,0,0,1,0,"Control"
502,37,1,1,0,0,1,1,0,"HowToOnly"
503,67,1,1,1,1,1,1,1,"BothMailers"
504,73,1,1,1,1,0,1,1,"HowToOnly"
505,68,0,0,0,0,0,1,1,"BothMailers"
506,24,0,0,0,1,1,1,0,"HowToOnly"
509,29,0,1,0,1,0,1,0,"HowToOnly"
510,76,1,1,0,1,1,1,1,"Control"
511,79,0,1,0,1,0,1,0,"HowToOnly"
512,54,1,1,0,1,1,1,1,"BothMailers"
513,48,1,0,1,1,0,1,0,"BothMailers"
514,60,1,0,0,1,0,1,1,"BothMailers"
518,49,0,1,1,0,1,1,0,"HowToOnly"
519,65,0,0,0,1,1,1,1,"Control"
520,78,0,0,0,1,1,1,0,"Control"
521,38,1,1,1,1,0,1,0,"BothMailers"
522,59,1,0,0,0,1,1,1,"BothMailers"
523,34,1,1,0,1,1,1,0,"BothMailers"
